"","haul_number","year","month","day","wdfw_region","location_accuracy","had_gps","Sampling_Type","Num_of_Replicates","Depth","Measurement_Unit","Temperature","Salinity","Tide","new_lat","new_lon","location","gear","type","species","count","notes","row_color"
"3986","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","bay goby",1,NA,NA
"3987","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","rex sole",9,NA,NA
"3988","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","Pacific tomcod",34,NA,NA
"3989","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","walleye pollock",2,NA,NA
"3990","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","blackbelly eelpout",39,NA,NA
"3991","5135A",1951,11,23,"South Sound",2,1,"Otter trawl",1,"22-27","Fathoms",-1,0,-1,47.3467,-122.6858,"13","otter","vert.","Pacific herring",5,NA,NA
"3992","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","sand sole",2,NA,NA
"3993","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","English sole",3,NA,NA
"3994","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","slender sole",1,NA,NA
"3995","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","longnose skate",1,NA,NA
"3996","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","invert.","Rossia pacifica",1,"other inverts with no catch abundances",NA
"3997","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","invert.","Metridium sp.",15,NA,NA
"3998","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","flathead sole",4,NA,NA
"3999","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","starry flounder",5,NA,NA
"4000","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","invert.","Loligo opalescens",1,NA,NA
"4001","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","dogfish",1,NA,NA
"4002","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","plainfin midshipman",4,NA,NA
"4003","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","invert.","Pandalus hypsinotus",1,NA,NA
"4004","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","invert.","Tritonia sp.",1,NA,NA
"4005","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","Pacific staghorn sculpin",18,NA,NA
"4006","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","blackbelly eelpout",6,NA,NA
"4007","5135B",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16.5-17","Fathoms",-1,0,0,47.3612,-122.6783,"13","otter","vert.","shiner perch",11,NA,NA
"4008","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","plainfin midshipman",4,NA,NA
"4009","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Cancer productus",1,NA,NA
"4010","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","flathead sole",2,NA,NA
"4011","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Cancer magister",21,NA,NA
"4012","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Metridium sp.",333,NA,NA
"4013","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","English sole",22,NA,NA
"4014","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Dermasterias imbricata",1,NA,NA
"4015","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Ascidia sp.",1,NA,"blue"
"4016","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","blacktip poacher",6,NA,NA
"4017","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","rex sole",3,NA,NA
"4018","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","Pacific tomcod",36,NA,NA
"4019","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Crossaster papposus",31,NA,NA
"4020","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","dogfish",21,NA,NA
"4021","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","ratfish",2,NA,NA
"4022","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","spinyhead sculpin",1,NA,NA
"4023","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","blackbelly eelpout",10,NA,NA
"4024","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Pisaster brevispinus",4,NA,NA
"4025","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","rock sole",4,NA,NA
"4026","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","copper rockfish",4,NA,NA
"4027","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","longnose skate",15,NA,NA
"4028","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","Luidia foliolata",11,NA,NA
"4029","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","slim sculpin",26,NA,NA
"4030","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","slender sole",36,NA,NA
"4031","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","invert.","unid. octopus",1,NA,NA
"4032","5135C",1951,11,23,"South Sound",2,1,"Otter trawl",1,"30-32","Fathoms",-1,0,0,47.332,-122.7028,"13","otter","vert.","quillback rockfish",1,NA,NA
"4033","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Ascidia sp.",1,NA,"blue"
"4034","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Pagurus ochotensis",3,NA,NA
"4035","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","ratfish",3,NA,NA
"4036","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Luidia foliolata",3,NA,NA
"4037","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Pisaster brevispinus",2,NA,NA
"4038","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Cancer gracilis",5,NA,NA
"4039","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","speckled sanddab",47,NA,NA
"4040","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","big skate",1,NA,NA
"4041","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","blackbelly eelpout",18,NA,NA
"4042","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","starry flounder",4,NA,NA
"4043","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Pycnopodia helianthoides",7,NA,NA
"4044","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Tritonia sp.",1,NA,NA
"4045","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","Pacific tomcod",230,NA,NA
"4046","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","Pacific herring",3,NA,NA
"4047","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Metridium sp.",24,NA,NA
"4048","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","Pacific staghorn sculpin",116,NA,NA
"4049","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","C-O sole",5,NA,NA
"4050","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","copper rockfish",1,NA,NA
"4051","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","slim sculpin",12,NA,NA
"4052","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","rock sole",152,NA,NA
"4053","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","dogfish",19,NA,NA
"4054","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","longnose skate",3,NA,NA
"4055","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","pile perch",36,NA,NA
"4056","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Octopus sp.",1,NA,NA
"4057","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","slender sole",12,NA,NA
"4058","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","striped seaperch",1,NA,NA
"4059","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","English sole",212,NA,NA
"4060","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","flathead sole",1,NA,NA
"4061","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","plainfin midshipman",8,NA,NA
"4062","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","longspine combfish",50,NA,NA
"4063","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","sturgeon poacher",11,NA,NA
"4064","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","rex sole",11,NA,NA
"4065","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","invert.","Pododesmus macroschisma",1,NA,NA
"4066","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","shiner perch",86,NA,NA
"4067","5135D",1951,11,23,"South Sound",2,1,"Otter trawl",1,"16-19.5","Fathoms",0,0,0,47.35,-122.685,"13","otter","vert.","sand sole",5,NA,NA
"4068","5135F",1951,11,24,"Central Sound",2,0,"Unknown",1,NA,NA,0,0,0,47.6131790071,-122.481525205,NA,NA,NA,NA,NA,NA,NA
"4069","5136A",1951,12,20,"Central Sound",3,0,"Unknown",1,"15","Fathoms",0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"4070","5136C",1951,12,20,"Central Sound",11,0,"Unknown",1,"60-100","Fathoms",0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"4071","5137A",1951,12,20,"Central Sound",3,0,"Beach seine",1,NA,NA,0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"4072","5137B",1951,12,27,"Central Sound",3,0,"Beach seine",1,NA,NA,0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"4073","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","sand sole",22,NA,NA
"4074","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","Pacific cod",5,NA,NA
"4075","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","rex sole",1,NA,NA
"4076","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","Dover sole",1,NA,NA
"4077","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","Pacific staghorn sculpin",7,NA,NA
"4078","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","invert.","Rossia pacifica",1,NA,NA
"4079","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","invert.","Crossaster papposus",2,NA,NA
"4080","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","Pacific sanddab",1,NA,NA
"4081","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","invert.","Cancer magister",59,NA,NA
"4082","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","flathead sole",4,NA,NA
"4083","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","invert.","Metridium sp.",3,NA,NA
"4084","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","starry flounder",4,NA,NA
"4085","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","threadfin sculpin",5,NA,NA
"4086","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","English sole",114,NA,NA
"4087","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","dogfish",44,NA,NA
"4088","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","longnose skate",4,NA,NA
"4089","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","copper rockfish",3,NA,NA
"4090","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","plainfin midshipman",3,NA,NA
"4091","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","ratfish",1,NA,NA
"4092","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","rock sole",36,NA,NA
"4093","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","invert.","Cancer oregonensis",1,NA,NA
"4094","5201A",1952,1,5,"South Sound",2,0,"Otter trawl",1,"19-20","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","blacktip poacher",6,NA,NA
"4095","5201B",1952,1,5,"South Sound",2,0,"Otter trawl",1,"25-35","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","rock sole",30,NA,NA
"4096","5201B",1952,1,5,"South Sound",2,0,"Otter trawl",1,"25-35","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","English sole",6094,NA,NA
"4097","5201B",1952,1,5,"South Sound",2,0,"Otter trawl",1,"25-35","Fathoms",0,0,-1,47.2889589642,-122.71968871,"13","otter","vert.","sand sole",NA,NA,NA
"4098","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","longnose skate",6,NA,NA
"4099","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","copper rockfish",39,NA,NA
"4100","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","ratfish",161,NA,NA
"4101","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","rock sole",8,NA,NA
"4102","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","pile perch",82,NA,NA
"4103","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","dogfish",64,NA,NA
"4104","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","invert.","Cancer magister",1,NA,NA
"4105","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","English sole",181,NA,NA
"4106","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","flathead sole",3,NA,NA
"4107","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","rex sole",7,NA,NA
"4108","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","Pacific cod",11,NA,NA
"4109","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","Dover sole",8,NA,NA
"4110","5201C",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-40","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","arrowtooth flounder",6,NA,NA
"4111","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","chinook salmon",1,NA,NA
"4112","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","longnose skate",NA,"20#",NA
"4113","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","dogfish",NA,"500#",NA
"4114","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","rock sole",NA,"5#",NA
"4115","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","copper rockfish",NA,"50#",NA
"4116","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","pile perch",NA,"100#",NA
"4117","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","ratfish",NA,"500#",NA
"4118","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","English sole",NA,"400#",NA
"4119","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","rex sole",NA,"10#",NA
"4120","5201D",1952,1,5,"South Sound",2,0,"Otter trawl",1,"35-37","Fathoms",0,0,-1,47.1360501016,-122.72740337,"13","otter","vert.","unid. sculpin",NA,"50#",NA
"4121","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","dogfish",88,NA,NA
"4122","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","Pacific hake",2,NA,"blue"
"4123","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","ratfish",86,NA,NA
"4124","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","rex sole",1,NA,NA
"4125","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","lingcod",1,NA,NA
"4126","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","walleye pollock",4,NA,NA
"4127","5201E",1952,1,6,"South Sound",2,0,"Otter trawl",1,"42-46","Fathoms",0,0,-1,47.2473728776,-122.679282942,"13","otter","vert.","Pacific cod",6,NA,NA
"4128","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","flathead sole",8,NA,NA
"4129","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","English sole",136,NA,NA
"4130","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","starry flounder",14,NA,NA
"4131","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","Dover sole",1,NA,NA
"4132","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","sand sole",42,NA,NA
"4133","5201G",1952,1,6,"South Sound",2,0,"Otter trawl",1,"17-20","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","rock sole",27,NA,NA
"4134","5201H",1952,1,6,"South Sound",2,0,"Otter trawl",1,"25-30","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","dogfish",200,NA,NA
"4135","5201H",1952,1,6,"South Sound",2,0,"Otter trawl",1,"25-30","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","English sole",3672,NA,NA
"4136","5201H",1952,1,6,"South Sound",2,0,"Otter trawl",1,"25-30","Fathoms",0,0,-1,47.3501849719,-122.682030896,"13","otter","vert.","copper rockfish",NA,"30lbs",NA
"4137","5201I",1952,1,6,"South Sound",3,0,"Otter trawl",1,"30-58","Fathoms",0,0,-1,47.3226488181,-122.705750534,"13","otter","vert.","English sole",199,NA,NA
"4138","5201I",1952,1,6,"South Sound",3,0,"Otter trawl",1,"30-58","Fathoms",0,0,-1,47.3226488181,-122.705750534,"13","otter","vert.","dogfish",80,NA,NA
"4139","5201I",1952,1,6,"South Sound",3,0,"Otter trawl",1,"30-58","Fathoms",0,0,-1,47.3226488181,-122.705750534,"13","otter","vert.","copper rockfish",NA,"100lbs",NA
