ref number,Haul Number:,Year,Month,Day,Location:,new_location,new_sub_location,WDFW sub basins,Puget Sound Region:,Paper record name,Lat:,dec_lat,Long:,dec_long,Boat Name:,Study Name,Sampling type,Other:,Num of Replicates,Depth:,Measurement unit:,Temperature,Salinity,Tide,Comments,Sex:
114,5104D,1951,1,27,Carr Inlet,Carr Inlet,,South Puget Sound,13,Log 3,47 20.63' N,47.3438,122 41.01' W,122.6835,Oncorhynchus,NA,Otter trawl,,1,15-28,Fathoms,0,0,0,,None
115,5104V,1951,2,3,"Carr Inlet, N. of Raft Island",Carr Inlet,N of Raft Island,South Puget Sound,13,Log 3,47 20.60' N,47.3433,122 40.72' W,122.6787,Oncorhynchus,NA,Otter trawl,,1,27-28,Fathoms,0,0,0,,None
116,5104L,1951,1,31,"Raft Island, Carr Inlet",Carr Inlet,Raft Island,South Puget Sound,13,Log 3,47 20.6' N,47.3433,122 40.56' W,122.6760,Oncorhynchus,NA,Otter trawl,,1,10-25,Fathoms,0,0,0,,None
117,5104Y,1951,2,3,"Carr Inlet, W. side betw. Minter and Glencove",Carr Inlet,between Minter and Glencove W side,South Puget Sound,13,Log 3,47 20.51'N,47.3418,122 42.30' W,122.7050,Oncorhynchus,Na,Otter trawl,,1,24-28,Fathoms,0,0,0,,None
118,5037G,1950,8,5,Carr Inlet,Carr Inlet,,South Puget Sound,13,Log 2,47 20.50' N,47.3417,122 42.62' W,122.7103,Oncorhynchus,NA,Otter trawl,,1,4-7,Fathoms,0,0,0,,None
119,5104I,1951,1,30,Off Minter Creek,Minter Creek,,South Puget Sound,13,Log 3,47 20.40' N,47.3400,122 42.35' W,122.7058,Oncorhynchus,NA,Otter trawl,,1,20-26,Fathoms,0,0,0,,None
120,5101E,1951,1,6,Carr Inlet,Carr Inlet,,South Puget Sound,13,Log 2,47 20.33' N,47.3388,122 42.60' W,122.7100,Oncorhynchus,NA,Otter trawl,,1,18,Fathoms,0,0,0,Tagging Data,None
121,5104B,1951,1,28,Mouth of Quartermaster Harbor,Quartermaster Harbor,mouth,South Puget Sound,11,Log 3,47 20.21' N,47.3368,122 28.28' W,122.4713,Oncorhynchus,NA,Otter trawl,,1,31-21,Fathoms,0,0,0,,None
122,5115H,1951,4,22,Mouth of Quartermaster Harbor,Quartermaster Harbor,mouth,South Puget Sound,13,Log 3,47 20.13'N,47.3355,122 28.67'W,122.4778,Oncorhynchus,NA,Otter trawl,,1,25-28,Fathoms,0,0,0,,Some species
123,5042A,1950,9,1,Mouth of Quartermaster Harbor,Quartermaster Harbor,mouth,South Puget Sound,11,Log 2,47 20.0' N,47.3333,122 28.8' W,122.4800,Oncorhynchus,NA,Otter trawl,,1,26-30,Fathoms,0,0,0,,None
124,5135C,1951,11,23,Carr Inlet,Carr Inlet,,South Puget Sound,13,Log 4,"47 19.92""N",47.3320,"122 42.17""W",122.7028,Oncorhynchus,NA,Otter trawl,,1,30-32,Fathoms,-1,0,0,,Some species
125,5102A,1951,1,13,"Carr Inlet, Mid-Channel",Carr Inlet,Mid channel,South Puget Sound,13,Log 2,47 19.80' N,47.3300,122 42.40' W,122.7067,Oncorhynchus,NA,Otter trawl,,1,36,Fathoms,0,0,0,Tagging Data,None
126,5045H,1950,10,15,"Carr Inlet, W. of Raft Island",Carr Inlet,W of Raft Island,South Puget Sound,13,Log 2,47 19.8' N,47.3300,122 4.392' W,122.0732,Oncorhynchus,NA,Otter trawl,,1,30.035,Fathoms,0,0,0,,Some species
127,5104N,1951,1,31,"Carr Inlet, S. of Glencove",Carr Inlet,S of Glencove,South Puget Sound,13,Log 3,47 19.74' N,47.3290,122 43.28' W,122.7213,Oncorhynchus,NA,Otter trawl,,1,20,Fathoms,0,0,0,,None
128,5101F,1951,1,7,Carr Inlet,Carr Inlet,,South Puget Sound,13,Log 2,47 19.69' N,47.3282,122 42.20' W,122.7033,Oncorhynchus,Na,Otter trawl,,1,25-29,Fathoms,0,0,0,Tagging Data,None
129,5104AA,1951,2,3,"Carr Inlet, W. of Cutts Island",Carr Inlet,W of Cutts Island,South Puget Sound,13,Log 3,47 19.63'N,47.3272,122 41.18' W,122.6863,Oncorhynchus,NA,Otter trawl,,1,17-20,Fathoms,0,0,0,,Some species
130,5104J,1951,1,30,"Carr Inlet, W. of Cutts Island",Carr Inlet,W of Cutts Island,South Puget Sound,13,Log 3,47 19.56' N,47.3260,122 42.15' W,122.7025,Oncorhynchus,NA,Otter trawl,,1,34-35,Fathoms,0,0,0,,None
131,5104M,1951,1,31,"Carr Inlet, Cutts Island",Carr Inlet,Cutts Island,South Puget Sound,13,Log 3,47 19.53' N,47.3255,122 41.35' W,122.6892,Oncorhynchus,NA,Otter trawl,,1,10-26,Fathoms,0,0,0,,None
132,5126C,1951,7,17,"Carr Inlet, Horsehead Bay toward Glencove",Carr Inlet,Horsehead Bay toward Glencove,South Puget Sound,13,Log 3,47 18.8'N,47.3133,122 42.45'W,122.7075,Oncorhynchus,NA,Otter trawl,,1,40-42,Fathoms,0,0,-1,,Some species
133,5045K,1950,10,15,"Carr inlet, W of horsehead bay",Carr Inlet,W of Cutts Island,South Puget Sound,13,Log 2,47 18.82' N,47.3137,122 42.35' W,122.7058,Oncorhynchus,NA,Otter trawl,,1,38-42,Fathoms,0,0,0,,Some species
134,5104K,1951,1,30,"Carr Inlet, S. of Cutts Island",Carr Inlet,S of Cutts Island,South Puget Sound,13,Log 3,47 18.77' N,47.3128,122 41.85' W,122.6975,Oncorhynchus,NA,Otter trawl,,1,20-24,Fathoms,0,0,0,,None
135,5104Z,1951,2,3,"Carr Inlet, SSW of Cutts Island",Carr Inlet,SSW of Cutts Island,South Puget Sound,13,Log 3,47 18.72' N,47.3120,122 42.63' W,122.7105,Oncorhynchus,NA,Otter trawl,,1,41,Fathoms,0,0,0,,None
136,5104O,1951,1,31,"Carr Inlet, S. of Glencove",Carr Inlet,S of Glencove,South Puget Sound,13,Log 3,47 18.63' N,47.3105,122 43.85' W,122.7308,Oncorhynchus,NA,Otter trawl,,1,17.5-24,Fathoms,0,0,0,,None
137,5104P,1951,1,31,"Carr Inlet, S. of Glencove",Carr Inlet,S of Glencove,South Puget Sound,13,Log 3,47 18.57' N,47.3095,122 43.62' W,122.7270,Oncorhynchus,NA,Otter trawl,,1,30-32,Fathoms,0,0,0,,None
138,5104Q,1951,2,1,"Carr Inlet, Off Horsehead Bay",Carr Inlet,Horsehead Bay,South Puget Sound,13,Log 3,47 18.32' N,47.3053,122 42.96' W,122.7160,Oncorhynchus,NA,Otter trawl,,1,42-44,Fathoms,0,0,0,,None
139,5104R,1951,2,1,"Carr Inlet, N. of Home",Carr Inlet,N of Home,South Puget Sound,13,Log 3,47 17.61' N,47.2935,122 44.18' W,122.7363,Oncorhynchus,NA,Otter trawl,,1,26-31,Fathoms,0,0,0,,None
140,5126H,1951,7,19,"Case Inlet, off Heron Island",Case Inlet,Heron Island,South Puget Sound,13,Log 3,47 17.13'N,47.2855,122 50.28'W,122.8380,Oncorhynchus,NA,Otter trawl,,1,25-27,Fathoms,0,0,-1,,Some species
141,5046B,1950,11,21,"Hale Passage, W. of Cromwell",Hale Passage,W of Cromwell,South Puget Sound,13,Log 2,47 16.4' N,47.2733,122 37.95'W,122.6325,Oncorhynchus,NA,Otter trawl,,1,13-14,Fathoms,0,0,0,,Some species
142,5037A,1950,8,3,Mouth of Carr Inlet,Carr Inlet,mouth,South Puget Sound,13,Log 2,47 16.35'  N,47.2725,122 42.15' W,122.7025,Oncorhynchus,NA,Otter trawl,,1,45-52,Fathoms,0,0,0,,Some species
143,5104C,1951,2,28,Mouth of Carr Inlet,Carr Inlet,mouth,South Puget Sound,13,Log 3,47 13.52' N,47.2253,122 38.15' W,122.6358,Oncorhynchus,Na,Otter trawl,,1,72-80,Fathoms,0,0,0,,None
144,5115B,1951,4,20,Oakland Bay,Oakland Bay,,South Puget Sound,13,Log 3,47 13.21'N,47.2202,123 04.30'W,123.0717,Oncorhynchus,Na,Otter trawl,,1,4,Fathoms,0,0,-1,,Some species
145,5115A,1951,4,20,Oakland Bay,Oakland Bay,,South Puget Sound,13,Log 3,47 13.09'N,47.2182,122 04.33'W,122.0722,Oncorhynchus,NA,Otter trawl,,1,4-6,Fathoms,0,0,-1,,Some species
146,5046D,1950,11,21,"Carr Inlet, Off Gertrude Island",Carr Inlet,Gertrude Island,South Puget Sound,13,Log 2,47 13. 40' N,47.2278,122 39.04' W,122.6507,Oncorhynchus,NA,Otter trawl,,1,78-84,Fathoms,0,0,0,,Some species
147,5126K,1951,7,19,Ketron Island,Ketron Island,,South Puget Sound,13,Log 3,47 09.63'N,47.1605,122 39.41'W,122.6568,Oncorhynchus,NA,Otter trawl,,1,74-75,Fathoms,0,0,-1,,Some species
148,5316B,1953,7,7,Holmes Harbor,Holmes Harbor,,Whidbey Island,8-1,Log 7,"47 04.07""N",47.0678,"122 31.40""W",122.5233,Oncorhynchus,NA,Otter trawl,,1,29-30,Fathoms,0,0,0,,None
149,499F,1949,12,20,"Hoodsport, Hood Canal",Hoodsport,,Hood Canal,12,Log 1,"46° 24' 9"" N",46.4025,"123° 06' 2"" W",123.1006,Oncorhynchus,NA,Otter trawl,,1,80,Fathoms,0,0,0,Partially Sexed,
150,499H,1949,12,20,NW of Union,Union,NW,Hood Canal,12,Log 1,46° 22' N,46.3667,123° 7' W,123.1167,Oncorhynchus,NA,Otter trawl,,1,,,0,0,0,Partially Sexed,
151,5045I,1950,10,15,"Carr Inlet, off Wauna Purdy Sandspit",Carr Inlet,Wauna Purdy Sandspit,South Puget Sound,13,Log 2,42 22.75' N,42.3792,122 37.9' W,122.6317,Oncorhynchus,NA,Otter trawl,,1,,,0,0,0,,Some species
